Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,0,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.3,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-02,338.086,-20.4297,-317.227,-4.31563
-4.9990e-02,337.734,-22.0312,-315.273,-4.325
-4.9980e-02,338.242,-23.9844,-314.844,-4.33125
-4.9970e-02,339.336,-26.2109,-315.078,-4.325
-4.9960e-02,340.977,-27.0703,-314.18,-4.31719
-4.9950e-02,339.844,-28.2422,-311.992,-4.30469
-4.9940e-02,339.531,-29.8828,-311.25,-4.31406
-4.9930e-02,340.156,-31.7578,-310.742,-4.30469
-4.9920e-02,341.211,-32.1094,-309.453,-4.27969
-4.9910e-02,341.211,-33.2031,-309.141,-4.31563
-4.9900e-02,342.734,-34.2188,-309.414,-4.32188
-4.9890e-02,343.047,-35.1562,-308.789,-4.32812
-4.9880e-02,343.906,-36.2891,-309.531,-4.325
-4.9870e-02,345.391,-37.3438,-310.391,-4.32812
-4.9860e-02,346.953,-37.2266,-310.508,-4.31563
-4.9850e-02,345.82,-37.2266,-308.75,-4.33906
-4.9840e-02,345.234,-38.0859,-308.789,-4.34531
-4.9830e-02,344.961,-38.8672,-308.906,-4.35781
-4.9820e-02,345.898,-38.5938,-308.438,-4.34844
-4.9810e-02,343.281,-38.3203,-305.898,-4.33594
-4.9800e-02,341.992,-38.5156,-305.195,-4.32812
-4.9790e-02,341.016,-38.7109,-304.766,-4.31406
-4.9780e-02,340.273,-38.3203,-303.906,-4.29844
-4.9770e-02,340.703,-38.9453,-304.258,-4.26875
-4.9760e-02,341.016,-40.0391,-301.602,-4.26406
-4.9750e-02,340.195,-42.9688,-298.125,-4.26719
-4.9740e-02,342.5,-46.6797,-297.695,-4.25
-4.9730e-02,346.992,-49.2969,-299.648,-4.25
-4.9720e-02,348.555,-49.2969,-300.352,-4.26875
-4.9710e-02,349.609,-48.1641,-302.227,-4.275
-4.9700e-02,349.922,-48.5547,-302.461,-4.30781
-4.9690e-02,348.477,-49.2578,-299.492,-4.29531
-4.9680e-02,348.477,-51.9922,-298.32,-4.28906
-4.9670e-02,349.336,-54.5312,-297.773,-4.28281
-4.9660e-02,350.703,-55.8984,-296.445,-4.25938
-4.9650e-02,348.75,-57.0312,-292.852,-4.275
-4.9640e-02,348.203,-58.9844,-291.562,-4.27031
-4.9630e-02,347.305,-60.3906,-290.156,-4.24219
-4.9620e-02,347.617,-61.6406,-288.398,-4.2
-4.9610e-02,347.188,-62.3828,-287.031,-4.18906
-4.9600e-02,347.656,-63.1641,-286.836,-4.20469
-4.9590e-02,349.688,-63.9062,-288.242,-4.20469
-4.9580e-02,352.227,-63.8281,-289.961,-4.24063
-4.9570e-02,353.164,-63.4766,-291.016,-4.25625
-4.9560e-02,355.156,-63.7891,-293.711,-4.28281
-4.9550e-02,359.062,-64.9609,-297.539,-4.31719
