Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,-0.0003,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,500,,,
Vertical Position,1.62,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.0300e-02,192.969,-562.188,246.953,-0.482813
-2.0296e-02,192.188,-561.953,248.672,-0.476562
-2.0292e-02,190.547,-562.812,250.312,-0.459375
-2.0288e-02,190.156,-564.609,250.078,-0.439063
-2.0284e-02,190,-564.609,253.359,-0.421875
-2.0280e-02,189.219,-564.844,255.312,-0.401563
-2.0276e-02,188.203,-565.234,256.562,-0.395313
-2.0272e-02,187.109,-566.406,258.594,-0.385938
-2.0268e-02,187.109,-565.469,259.141,-0.36875
-2.0264e-02,187.188,-566.016,260.391,-0.353125
-2.0260e-02,185.703,-567.266,260.781,-0.357813
-2.0256e-02,185.547,-568.438,260.625,-0.357813
-2.0252e-02,187.188,-569.766,261.641,-0.373438
-2.0248e-02,188.125,-571.797,260.469,-0.373438
-2.0244e-02,188.906,-571.953,262.266,-0.360938
-2.0240e-02,188.984,-572.188,262.031,-0.35
-2.0236e-02,188.203,-571.953,262.812,-0.317188
-2.0232e-02,187.734,-570.703,263.438,-0.3125
-2.0228e-02,187.109,-572.188,262.5,-0.329688
-2.0224e-02,185.469,-570.156,265.938,-0.320312
-2.0220e-02,184.297,-569.766,267.109,-0.2875
-2.0216e-02,182.891,-570.078,265.938,-0.2875
-2.0212e-02,182.5,-571.172,266.094,-0.29375
-2.0208e-02,182.031,-568.672,267.344,-0.292188
-2.0204e-02,180.469,-566.641,266.562,-0.2875
-2.0200e-02,177.344,-565,264.453,-0.289062
-2.0196e-02,177.188,-563.984,263.047,-0.292188
-2.0192e-02,176.562,-561.953,261.406,-0.279688
-2.0188e-02,176.953,-559.141,262.188,-0.292188
-2.0184e-02,178.828,-559.531,260.469,-0.3
-2.0180e-02,178.984,-557.891,261.875,-0.317188
-2.0176e-02,178.594,-557.5,262.188,-0.309375
-2.0172e-02,175.312,-556.484,260.625,-0.304688
-2.0168e-02,174.766,-556.328,261.172,-0.292188
-2.0164e-02,174.297,-557.109,260.781,-0.304688
-2.0160e-02,172.734,-556.328,261.641,-0.2875
-2.0156e-02,169.922,-555.859,262.5,-0.292188
-2.0152e-02,167.578,-555.312,262.422,-0.267188
-2.0148e-02,165.859,-555.938,262.266,-0.264063
-2.0144e-02,166.172,-555.469,264.531,-0.248438
-2.0140e-02,165,-554.688,265.469,-0.24375
-2.0136e-02,164.141,-555.078,265.859,-0.239063
-2.0132e-02,163.828,-555.547,266.484,-0.25625
-2.0128e-02,162.344,-554.844,265.859,-0.24375
-2.0124e-02,161.484,-551.172,268.984,-0.240625
-2.0120e-02,161.484,-551.641,267.5,-0.25625
-2.0116e-02,161.484,-550.859,265.859,-0.248438
-2.0112e-02,160.781,-551.016,266.875,-0.240625
-2.0108e-02,160.078,-552.5,265.234,-0.24375
