Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,-0.0003,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,500,,,
Vertical Position,1.62,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0300e-02,-43.0469,284.062,-364.766,-2.5125
-5.0290e-02,-40.3125,283.828,-365.859,-2.54219
-5.0280e-02,-38.75,283.125,-365.391,-2.54375
-5.0270e-02,-35.8594,280.625,-366.719,-2.58438
-5.0260e-02,-32.1094,277.656,-371.484,-2.63281
-5.0250e-02,-26.0938,276.172,-374.297,-2.67344
-5.0240e-02,-23.125,277.344,-375.391,-2.69219
-5.0230e-02,-22.0312,278.438,-378.594,-2.68438
-5.0220e-02,-23.5938,281.016,-375.938,-2.67813
-5.0210e-02,-23.5938,279.375,-376.719,-2.71406
-5.0200e-02,-23.9062,279.297,-378.281,-2.7125
-5.0190e-02,-22.3438,281.875,-383.75,-2.69688
-5.0180e-02,-21.5625,283.594,-383.828,-2.7125
-5.0170e-02,-21.4062,281.875,-383.594,-2.71094
-5.0160e-02,-18.4375,278.359,-385.234,-2.74531
-5.0150e-02,-13.2031,273.516,-384.062,-2.78281
-5.0140e-02,-11.0156,268.359,-385.547,-2.84688
-5.0130e-02,-7.89062,265.938,-386.797,-2.84375
-5.0120e-02,-5.23438,266.641,-387.5,-2.86875
-5.0110e-02,-2.57812,266.328,-388.516,-2.86719
-5.0100e-02,-2.1875,266.797,-388.984,-2.88125
-5.0090e-02,-4.60938,268.672,-393.359,-2.89062
-5.0080e-02,-7.03125,272.812,-393.281,-2.85625
-5.0070e-02,-8.28125,273.984,-393.828,-2.84688
-5.0060e-02,-7.26562,273.594,-393.828,-2.83594
-5.0050e-02,-6.25,272.812,-390.938,-2.86875
-5.0040e-02,-5.3125,270.938,-391.094,-2.90313
-5.0030e-02,-3.51562,266.719,-390.781,-2.9125
-5.0020e-02,1.95312,263.672,-391.953,-2.91875
-5.0010e-02,5.70312,261.953,-394.531,-2.97656
-5.0000e-02,7.42188,261.016,-395.781,-3.00781
-4.9990e-02,7.8125,262.188,-396.797,-3.00156
-4.9980e-02,7.03125,265,-393.047,-2.99375
-4.9970e-02,3.67188,263.984,-391.562,-2.99219
-4.9960e-02,2.8125,263.984,-392.109,-2.96719
-4.9950e-02,3.67188,265.938,-396.172,-2.93906
-4.9940e-02,1.79688,267.734,-395.156,-2.91719
-4.9930e-02,1.64062,267.344,-393.125,-2.91094
-4.9920e-02,4.375,262.266,-392.656,-2.92344
-4.9910e-02,6.25,259.219,-388.984,-2.92344
-4.9900e-02,7.8125,255.391,-388.359,-2.95
-4.9890e-02,9.0625,252.969,-387.891,-2.97031
-4.9880e-02,11.7969,252.109,-389.297,-2.97031
-4.9870e-02,13.4375,252.031,-390.312,-2.95625
-4.9860e-02,14.6094,253.359,-392.969,-2.97969
-4.9850e-02,16.0156,253.125,-397.109,-3.025
