Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,0.1926,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,500,,,
Vertical Position,1.62,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
1.72600e-01,-450.859,-181.328,485.703,4.50156
1.72604e-01,-450.703,-178.047,486.953,4.49687
1.72608e-01,-451.484,-176.875,485.078,4.49375
1.72612e-01,-451.875,-175.625,483.594,4.45937
1.72616e-01,-452.5,-173.828,482.266,4.45625
1.72620e-01,-454.297,-171.953,481.25,4.44531
1.72624e-01,-455.156,-170.547,480.625,4.43125
1.72628e-01,-455.547,-168.125,478.594,4.425
1.72632e-01,-455.781,-166.875,477.812,4.43594
1.72636e-01,-456.172,-166.094,475.078,4.42344
1.72640e-01,-457.344,-164.688,472.656,4.43281
1.72644e-01,-457.812,-163.281,472.109,4.42031
1.72648e-01,-457.812,-163.516,470.703,4.3875
1.72652e-01,-456.797,-163.906,470.391,4.40312
1.72656e-01,-456.328,-162.5,471.875,4.3875
1.72660e-01,-456.562,-162.5,471.484,4.42812
1.72664e-01,-456.953,-162.031,472.266,4.40781
1.72668e-01,-457.578,-160.859,472.5,4.42344
1.72672e-01,-458.984,-160.234,472.422,4.43125
1.72676e-01,-459.453,-159.844,472.734,4.42812
1.72680e-01,-460,-159.141,473.125,4.42344
1.72684e-01,-461.406,-158.438,471.641,4.42344
1.72688e-01,-462.422,-157.812,472.266,4.42812
1.72692e-01,-462.031,-156.953,472.734,4.44844
1.72696e-01,-461.641,-155.391,473.516,4.44844
1.72700e-01,-463.047,-153.359,473.125,4.46875
1.72704e-01,-464.922,-153.75,474.922,4.48438
1.72708e-01,-465.859,-151.328,475.938,4.45625
1.72712e-01,-466.562,-152.266,474.297,4.45937
1.72716e-01,-466.172,-152.031,475.156,4.44844
1.72720e-01,-466.719,-151.484,475.312,4.45625
1.72724e-01,-466.172,-151.641,475.703,4.47187
1.72728e-01,-464.844,-150.859,475.312,4.48906
1.72732e-01,-466.094,-152.656,473.75,4.47344
1.72736e-01,-466.484,-153.125,475.078,4.49375
1.72740e-01,-466.328,-153.125,475.312,4.5
1.72744e-01,-467.5,-152.891,474.922,4.48438
1.72748e-01,-468.906,-153.672,473.906,4.49219
1.72752e-01,-470.938,-151.641,475.078,4.49375
1.72756e-01,-472.422,-148.984,474.922,4.47187
1.72760e-01,-472.656,-147.266,475.312,4.48906
1.72764e-01,-474.844,-146.641,475.078,4.47656
1.72768e-01,-476.016,-144.766,474.922,4.5125
1.72772e-01,-475.703,-145.781,473.75,4.48438
1.72776e-01,-475.703,-145.234,473.125,4.45625
1.72780e-01,-477.891,-145.547,471.875,4.46875
1.72784e-01,-478.672,-145.391,471.016,4.48125
1.72788e-01,-478.047,-146.016,471.641,4.49375
1.72792e-01,-476.719,-147.031,471.641,4.5125
1.72796e-01,-476.484,-146.016,473.906,4.51719
1.72800e-01,-476.719,-146.562,474.688,4.50937
