Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,0.1926,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,500,,,
Vertical Position,1.62,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
1.42600e-01,367.734,60.7031,-572.109,-11.1094
1.42610e-01,365.938,59.9219,-568.828,-11.0953
1.42620e-01,365.156,57.4219,-566.406,-11.0813
1.42630e-01,367.812,56.5625,-567.422,-11.0859
1.42640e-01,369.141,57.4219,-565.859,-11.0781
1.42650e-01,367.109,60.2344,-565,-11.0719
1.42660e-01,364.062,60.9375,-564.688,-11.0672
1.42670e-01,365.469,60.8594,-569.453,-11.0891
1.42680e-01,365.703,61.7188,-570.938,-11.1234
1.42690e-01,366.953,60,-567.422,-11.1094
1.42700e-01,366.797,54.8438,-563.828,-11.0938
1.42710e-01,369.062,50.0781,-564.141,-11.1266
1.42720e-01,372.422,46.5625,-563.047,-11.1641
1.42730e-01,377.656,40.8594,-566.094,-11.2234
1.42740e-01,381.016,39.7656,-566.406,-11.2453
1.42750e-01,382.891,40.5469,-564.766,-11.2516
1.42760e-01,381.328,40.0781,-564.375,-11.2984
1.42770e-01,380.703,38.6719,-563.672,-11.3328
1.42780e-01,381.172,37.8125,-562.969,-11.3422
1.42790e-01,380.859,35.7031,-563.438,-11.325
1.42800e-01,381.797,33.75,-564.297,-11.3188
1.42810e-01,382.5,33.2812,-562.891,-11.3016
1.42820e-01,383.75,32.1875,-561.328,-11.3063
1.42830e-01,385.938,28.4375,-561.328,-11.3141
1.42840e-01,388.984,27.5,-560.938,-11.3313
1.42850e-01,391.719,25.4688,-557.656,-11.3531
1.42860e-01,391.875,22.6562,-556.172,-11.3859
1.42870e-01,392.031,19.375,-555.625,-11.375
1.42880e-01,393.828,16.25,-555.156,-11.325
1.42890e-01,394.453,14.6094,-555.469,-11.3203
1.42900e-01,395.391,13.5156,-553.75,-11.2844
1.42910e-01,393.594,15.4688,-551.641,-11.2422
1.42920e-01,391.25,17.5781,-550.391,-11.2109
1.42930e-01,389.141,17.7344,-551.875,-11.2125
1.42940e-01,388.203,16.875,-553.125,-11.2172
1.42950e-01,389.922,15.9375,-556.094,-11.2391
1.42960e-01,393.438,16.6406,-555.938,-11.2516
1.42970e-01,394.375,14.4531,-553.75,-11.2578
1.42980e-01,393.672,7.10938,-550.469,-11.2766
1.42990e-01,396.328,2.5,-549.062,-11.3141
1.43000e-01,401.25,-2.89062,-547.344,-11.3391
1.43010e-01,406.25,-7.1875,-548.594,-11.3938
1.43020e-01,410.781,-8.98438,-548.75,-11.4172
1.43030e-01,412.109,-10.625,-548.75,-11.4578
1.43040e-01,409.844,-11.9531,-548.75,-11.5047
1.43050e-01,411.172,-10.7031,-547.969,-11.5453
1.43060e-01,411.094,-11.6406,-548.594,-11.5766
1.43070e-01,410.703,-11.9531,-546.562,-11.5594
1.43080e-01,412.031,-11.7188,-548.047,-11.5656
