Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,0,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.38,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-02,-26.3672,-295,316.211,-2.60313
-4.9990e-02,-26.0156,-295.43,315.312,-2.59531
-4.9980e-02,-25.625,-295.742,315.977,-2.54375
-4.9970e-02,-26.0547,-295.234,318.125,-2.56406
-4.9960e-02,-26.6016,-295.664,317.383,-2.59375
-4.9950e-02,-26.0156,-296.328,315.977,-2.59531
-4.9940e-02,-26.0156,-295.664,316.68,-2.59688
-4.9930e-02,-29.4922,-292.578,317.93,-2.62344
-4.9920e-02,-31.8359,-290.391,318.359,-2.62813
-4.9910e-02,-31.5234,-289.414,316.875,-2.64219
-4.9900e-02,-32.0703,-287.734,315.977,-2.62969
-4.9890e-02,-33.75,-285.859,315.117,-2.62969
-4.9880e-02,-34.4922,-284.531,314.297,-2.60781
-4.9870e-02,-32.8906,-283.906,312.656,-2.59375
-4.9860e-02,-32.4219,-283.125,311.523,-2.58281
-4.9850e-02,-33.2422,-281.484,310.898,-2.55625
-4.9840e-02,-35,-280.078,310.156,-2.5625
-4.9830e-02,-36.4453,-278.867,311.367,-2.58906
-4.9820e-02,-37.5391,-278.398,310.43,-2.625
-4.9810e-02,-38.2422,-277.344,310.664,-2.6625
-4.9800e-02,-38.5547,-277.5,310.273,-2.67969
-4.9790e-02,-39.8438,-275.938,312.227,-2.69063
-4.9780e-02,-40.7422,-275.117,311.25,-2.71094
-4.9770e-02,-41.0547,-273.789,310.508,-2.69063
-4.9760e-02,-40.8984,-273.945,309.219,-2.69844
-4.9750e-02,-41.7969,-271.758,310.781,-2.69844
-4.9740e-02,-42.2266,-270.82,309.297,-2.69063
-4.9730e-02,-42.2266,-269.062,306.758,-2.66563
-4.9720e-02,-41.4062,-268.789,305.156,-2.6625
-4.9710e-02,-41.4453,-268.477,305.039,-2.64375
-4.9700e-02,-42.5,-267.344,306.484,-2.65313
-4.9690e-02,-45.3125,-266.133,308.164,-2.65938
-4.9680e-02,-47.4219,-265.039,309.18,-2.67031
-4.9670e-02,-47.0703,-265.547,309.219,-2.66563
-4.9660e-02,-47.2266,-265.352,309.57,-2.67031
-4.9650e-02,-48.9062,-264.023,310.547,-2.69063
-4.9640e-02,-51.5234,-263.555,311.289,-2.69688
-4.9630e-02,-53.3594,-263.164,314.258,-2.74219
-4.9620e-02,-55.3125,-263.672,315.195,-2.78281
-4.9610e-02,-56.4062,-263.75,316.211,-2.80781
-4.9600e-02,-57.6562,-262.578,316.875,-2.80156
-4.9590e-02,-58.6719,-261.602,316.055,-2.81719
-4.9580e-02,-59.3359,-260.664,317.148,-2.82969
-4.9570e-02,-60.5859,-259.57,318.633,-2.84063
-4.9560e-02,-61.6016,-259.141,317.656,-2.84844
-4.9550e-02,-61.5625,-258.711,316.367,-2.85625
