Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,0.0035,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.42,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.6500e-02,-371.602,183.789,199.883,-3.84219
-4.6490e-02,-371.68,185.703,198.008,-3.82188
-4.6480e-02,-371.758,187.734,195.82,-3.8125
-4.6470e-02,-372.422,191.484,195.43,-3.81563
-4.6460e-02,-372.227,192.852,191.562,-3.81875
-4.6450e-02,-371.211,195.156,187.344,-3.77344
-4.6440e-02,-370.391,197.344,184.57,-3.77188
-4.6430e-02,-370.352,198.477,185.117,-3.77188
-4.6420e-02,-370.352,197.891,185.469,-3.77188
-4.6410e-02,-370.508,199.141,184.688,-3.75156
-4.6400e-02,-370.156,199.648,181.992,-3.75469
-4.6390e-02,-369.18,200.352,179.57,-3.74375
-4.6380e-02,-368.32,201.875,176.719,-3.7375
-4.6370e-02,-368.203,204.258,174.453,-3.72031
-4.6360e-02,-368.945,207.773,173.359,-3.70469
-4.6350e-02,-370.078,209.609,174.102,-3.71094
-4.6340e-02,-369.688,208.398,174.219,-3.69063
-4.6330e-02,-368.516,206.914,172.734,-3.68906
-4.6320e-02,-367.734,206.875,171.25,-3.68594
-4.6310e-02,-367.578,208.359,171.797,-3.67969
-4.6300e-02,-366.953,207.539,169.883,-3.70312
-4.6290e-02,-365.273,207.383,167.109,-3.67188
-4.6280e-02,-363.594,207.383,164.062,-3.61563
-4.6270e-02,-362.852,209.141,161.992,-3.58281
-4.6260e-02,-362.891,211.328,160.664,-3.57656
-4.6250e-02,-363.242,212.188,160.625,-3.55625
-4.6240e-02,-364.102,211.875,161.875,-3.56719
-4.6230e-02,-364.609,213.164,161.562,-3.5875
-4.6220e-02,-364.922,213.906,160.273,-3.58125
-4.6210e-02,-364.883,215.195,158.633,-3.5875
-4.6200e-02,-364.844,216.367,156.719,-3.57031
-4.6190e-02,-365.234,219.375,156.797,-3.56406
-4.6180e-02,-365.117,220.156,154.219,-3.56406
-4.6170e-02,-364.18,221.172,150.664,-3.55
-4.6160e-02,-363.477,222.266,148.516,-3.52969
-4.6150e-02,-363.242,222.734,150.586,-3.50938
-4.6140e-02,-362.969,220.898,150.781,-3.50938
-4.6130e-02,-363.32,221.25,150.273,-3.50625
-4.6120e-02,-364.414,223.828,149.883,-3.50313
-4.6110e-02,-365.977,227.227,149.414,-3.51406
-4.6100e-02,-367.148,229.258,147.227,-3.52031
-4.6090e-02,-367.5,231.797,144.336,-3.54219
-4.6080e-02,-368.438,235,143.164,-3.52969
-4.6070e-02,-369.727,236.25,144.844,-3.54063
-4.6060e-02,-370.742,236.914,146.562,-3.56094
-4.6050e-02,-370.312,237.422,143.945,-3.53906
-4.6040e-02,-369.531,239.805,142.07,-3.50938
-4.6030e-02,-369.102,240.156,140.352,-3.48594
-4.6020e-02,-369.219,240.781,140.742,-3.48438
