Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,-0.00012,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.42,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0120e-02,-285.859,-73.6719,358.828,-4.15
-5.0110e-02,-289.922,-69.5703,359.648,-4.17031
-5.0100e-02,-293.359,-67.3438,360.117,-4.21719
-5.0090e-02,-295.977,-66.2109,361.719,-4.26562
-5.0080e-02,-297.969,-66.7969,362.188,-4.27031
-5.0070e-02,-301.25,-64.0625,364.062,-4.27031
-5.0060e-02,-303.75,-61.8359,363.203,-4.29219
-5.0050e-02,-303.164,-59.8828,361.836,-4.25781
-5.0040e-02,-300.742,-59.8047,359.414,-4.225
-5.0030e-02,-298.906,-59.6875,357.422,-4.19844
-5.0020e-02,-298.125,-59.3359,356.445,-4.18125
-5.0010e-02,-298.711,-58.9844,356.172,-4.15156
-5.0000e-02,-300.43,-58.5938,357.148,-4.175
-4.9990e-02,-302.773,-56.7578,359.648,-4.19687
-4.9980e-02,-304.297,-56.6016,358.828,-4.23594
-4.9970e-02,-304.883,-55.625,357.812,-4.24687
-4.9960e-02,-306.328,-55.2734,358.477,-4.27812
-4.9950e-02,-308.945,-53.6719,362.5,-4.29219
-4.9940e-02,-309.648,-53.4766,361.211,-4.29844
-4.9930e-02,-306.914,-52.4609,357.227,-4.24531
-4.9920e-02,-303.477,-52.2266,352.812,-4.18594
-4.9910e-02,-301.25,-51.3281,350.82,-4.18594
-4.9900e-02,-300.078,-50.3516,348.906,-4.16406
-4.9890e-02,-299.922,-49.2969,347.5,-4.17031
-4.9880e-02,-300.742,-48.2422,347.07,-4.15
-4.9870e-02,-302.812,-46.7578,347.891,-4.15625
-4.9860e-02,-306.016,-45.4688,349.18,-4.18437
-4.9850e-02,-309.805,-43.1641,352.461,-4.25625
-4.9840e-02,-312.812,-42.2266,352.109,-4.26719
-4.9830e-02,-314.531,-40.5078,352.109,-4.31094
-4.9820e-02,-317.305,-39.7656,353.164,-4.375
-4.9810e-02,-321.523,-37.5391,357.422,-4.37969
-4.9800e-02,-323.438,-36.7969,357.305,-4.40312
-4.9790e-02,-321.367,-35.5859,353.867,-4.37969
-4.9780e-02,-318.32,-34.6484,350.312,-4.33281
-4.9770e-02,-316.25,-34.0625,348.008,-4.31094
-4.9760e-02,-314.961,-33.1641,346.133,-4.25781
-4.9750e-02,-314.609,-32.0703,345.195,-4.24063
-4.9740e-02,-315.43,-31.2109,345.078,-4.25156
-4.9730e-02,-316.992,-29.6094,346.562,-4.27188
-4.9720e-02,-317.656,-29.5312,344.453,-4.25781
-4.9710e-02,-317.5,-28.9453,342.539,-4.24531
-4.9700e-02,-318.164,-27.9297,342.969,-4.24063
-4.9690e-02,-319.648,-26.2109,346.367,-4.25625
-4.9680e-02,-319.727,-26.7969,344.297,-4.26719
