Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,0,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.42,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.0000e-02,17.8125,477.266,-478.281,2.05
-1.9996e-02,18.5156,477.266,-480.43,2.06875
-1.9992e-02,19.7656,478.281,-481.016,2.06875
-1.9988e-02,20.0391,476.875,-477.383,2.09062
-1.9984e-02,20.3516,474.258,-479.844,2.09062
-1.9980e-02,21.875,473.594,-481.25,2.11094
-1.9976e-02,23.3203,473.438,-482.578,2.10938
-1.9972e-02,24.4531,472.812,-483.789,2.15781
-1.9968e-02,25.5469,472.734,-484.375,2.17188
-1.9964e-02,27.2656,472.891,-487.617,2.19063
-1.9960e-02,28.9062,474.766,-488.242,2.16406
-1.9956e-02,29.3359,475.156,-487.93,2.22031
-1.9952e-02,28.6719,474.453,-486.797,2.21875
-1.9948e-02,27.8125,473.203,-483.242,2.21562
-1.9944e-02,27.7734,471.367,-485.508,2.20781
-1.9940e-02,29.0234,472.578,-485.703,2.19531
-1.9936e-02,29.2188,471.992,-485.078,2.18281
-1.9932e-02,29.7266,470.156,-483.984,2.19063
-1.9928e-02,30.3516,467.93,-482.773,2.18437
-1.9924e-02,31.0547,466.406,-483.281,2.16406
-1.9920e-02,31.8359,466.094,-482.539,2.17969
-1.9916e-02,31.7188,465.625,-481.133,2.1875
-1.9912e-02,31.1328,464.375,-479.492,2.20781
-1.9908e-02,30.1172,462.852,-478.711,2.19531
-1.9904e-02,29.8047,463.242,-479.219,2.16406
-1.9900e-02,29.2969,463.945,-477.773,2.1625
-1.9896e-02,28.0859,463.984,-475.859,2.14688
-1.9892e-02,27.1875,463.945,-473.516,2.11094
-1.9888e-02,24.8438,461.562,-469.57,2.13125
-1.9884e-02,24.8438,459.531,-469.062,2.10938
-1.9880e-02,24.8438,458.477,-468.438,2.10625
-1.9876e-02,25.3516,457.695,-467.422,2.10312
-1.9872e-02,26.1328,456.172,-467.227,2.08125
-1.9868e-02,27.3047,454.453,-469.18,2.07812
-1.9864e-02,28.7891,455.117,-468.633,2.08594
-1.9860e-02,29.2188,454.609,-467.812,2.06875
-1.9856e-02,29.9219,453.516,-467.617,2.08281
-1.9852e-02,30.3125,452.383,-467.109,2.10156
-1.9848e-02,31.0547,451.68,-466.406,2.10312
-1.9844e-02,31.25,450.352,-466.289,2.13125
-1.9840e-02,32.2656,450.273,-466.328,2.09688
-1.9836e-02,32.9688,449.648,-466.719,2.09062
-1.9832e-02,33.3984,449.336,-466.992,2.09844
-1.9828e-02,33.8672,448.711,-467.031,2.09844
-1.9824e-02,34.2578,448.32,-467.422,2.12187
-1.9820e-02,35.3125,448.203,-467.93,2.11875
-1.9816e-02,35.7812,448.555,-468.516,2.11875
-1.9812e-02,36.4062,449.219,-469.141,2.12344
-1.9808e-02,36.9141,449.375,-469.961,2.11406
