Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,0,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.42,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-02,-165.547,-220.781,383.164,-3.63594
-4.9990e-02,-166.562,-218.477,381.836,-3.64688
-4.9980e-02,-167.461,-216.68,380.625,-3.64219
-4.9970e-02,-168.945,-214.805,381.172,-3.6375
-4.9960e-02,-169.141,-214.766,381.289,-3.62187
-4.9950e-02,-168.789,-215.117,382.656,-3.64375
-4.9940e-02,-167.969,-216.094,381.289,-3.65781
-4.9930e-02,-166.328,-217.227,379.648,-3.63281
-4.9920e-02,-165.312,-217.383,379.805,-3.60781
-4.9910e-02,-167.305,-215,381.68,-3.63594
-4.9900e-02,-169.375,-214.062,380.742,-3.61094
-4.9890e-02,-169.727,-214.766,381.289,-3.60781
-4.9880e-02,-170.703,-215.352,384.258,-3.64531
-4.9870e-02,-173.555,-215.82,387.812,-3.69219
-4.9860e-02,-175.977,-216.289,390.195,-3.74219
-4.9850e-02,-175.43,-218.203,391.055,-3.74844
-4.9840e-02,-173.789,-218.164,390.352,-3.71094
-4.9830e-02,-172.93,-216.836,387.344,-3.69219
-4.9820e-02,-174.062,-213.945,384.766,-3.68125
-4.9810e-02,-177.344,-208.359,384.531,-3.70156
-4.9800e-02,-180.938,-204.609,382.148,-3.725
-4.9790e-02,-183.008,-201.758,381.523,-3.725
-4.9780e-02,-185.156,-201.016,382.227,-3.7375
-4.9770e-02,-188.633,-199.219,385.195,-3.78594
-4.9760e-02,-191.523,-198.125,386.797,-3.8
-4.9750e-02,-191.25,-199.023,386.719,-3.81406
-4.9740e-02,-190.195,-198.789,387.422,-3.80313
-4.9730e-02,-190.352,-197.891,387.5,-3.80781
-4.9720e-02,-190.547,-196.836,384.336,-3.77188
-4.9710e-02,-189.414,-195.898,381.602,-3.74219
-4.9700e-02,-188.828,-195.898,381.133,-3.74687
-4.9690e-02,-190.781,-193.438,383.359,-3.7375
-4.9680e-02,-192.656,-192.891,382.656,-3.76562
-4.9670e-02,-193.086,-193.008,383.594,-3.775
-4.9660e-02,-193.516,-193.438,383.867,-3.78281
-4.9650e-02,-195.312,-190.938,384.18,-3.77969
-4.9640e-02,-197.695,-188.516,383.047,-3.81406
-4.9630e-02,-199.336,-186.992,383.672,-3.82969
-4.9620e-02,-200.781,-187.461,384.453,-3.81563
-4.9610e-02,-203.438,-186.523,388.164,-3.85156
-4.9600e-02,-205.195,-186.758,389.961,-3.88906
-4.9590e-02,-204.375,-188.203,390.469,-3.90156
-4.9580e-02,-201.992,-188.32,388.672,-3.88594
-4.9570e-02,-200.938,-186.641,384.727,-3.87031
-4.9560e-02,-200,-184.57,381.016,-3.83594
-4.9550e-02,-199.336,-183.516,378.711,-3.79375
-4.9540e-02,-198.516,-183.281,378.711,-3.80625
