Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,0,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.98,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0000e-02,-31.3281,-129.648,157.617,-1.65938
-4.9990e-02,-34.4141,-127.148,157.695,-1.67344
-4.9980e-02,-35,-125.312,155.781,-1.69531
-4.9970e-02,-35.9375,-124.023,154.102,-1.70312
-4.9960e-02,-37.2266,-122.617,156.094,-1.72031
-4.9950e-02,-39.0234,-122.539,157.617,-1.75156
-4.9940e-02,-39.8438,-122.773,157.773,-1.74844
-4.9930e-02,-40.7031,-122.539,158.359,-1.8
-4.9920e-02,-41.5625,-122.031,157.93,-1.8125
-4.9910e-02,-41.4844,-121.953,157.617,-1.80938
-4.9900e-02,-42.4219,-121.797,160.352,-1.81719
-4.9890e-02,-43.5938,-123.672,162.461,-1.85156
-4.9880e-02,-43.4766,-125.312,162.93,-1.84063
-4.9870e-02,-43.5156,-126.211,163.945,-1.81563
-4.9860e-02,-43.2031,-126.719,164.609,-1.78906
-4.9850e-02,-42.8125,-126.914,164.453,-1.77031
-4.9840e-02,-42.4609,-126.562,163.984,-1.76562
-4.9830e-02,-42.1094,-126.211,162.617,-1.78281
-4.9820e-02,-41.6016,-125.195,161.445,-1.77188
-4.9810e-02,-40.3516,-125.508,158.711,-1.73438
-4.9800e-02,-41.7188,-123.125,160.508,-1.75156
-4.9790e-02,-44.2188,-122.305,161.602,-1.76875
-4.9780e-02,-44.1406,-123.32,161.562,-1.79063
-4.9770e-02,-42.3047,-124.688,162.148,-1.75781
-4.9760e-02,-42.4219,-126.133,163.281,-1.75781
-4.9750e-02,-43.6719,-125.703,165,-1.79688
-4.9740e-02,-42.5,-125.82,162.773,-1.79844
-4.9730e-02,-39.8438,-125.547,159.492,-1.78906
-4.9720e-02,-40.0781,-123.32,159.805,-1.80938
-4.9710e-02,-43.2031,-121.016,159.805,-1.79219
-4.9700e-02,-43.7109,-119.414,157.422,-1.81719
-4.9690e-02,-43.9453,-118.047,155.391,-1.82031
-4.9680e-02,-44.6875,-116.406,156.602,-1.83281
-4.9670e-02,-46.0156,-115.977,157.617,-1.85
-4.9660e-02,-46.5625,-115.938,157.266,-1.83125
-4.9650e-02,-46.6797,-116.055,156.445,-1.8125
-4.9640e-02,-46.7188,-116.602,157.617,-1.84375
-4.9630e-02,-46.6016,-117.812,158.789,-1.82344
-4.9620e-02,-47.0703,-116.328,158.633,-1.80938
-4.9610e-02,-47.5391,-113.594,156.836,-1.80625
-4.9600e-02,-47.0703,-113.438,154.297,-1.775
-4.9590e-02,-46.5234,-114.102,154.219,-1.76875
-4.9580e-02,-48.4375,-113.398,157.461,-1.80938
-4.9570e-02,-52.8906,-112.539,160.352,-1.85156
-4.9560e-02,-55.4688,-112.383,160.898,-1.90625
-4.9550e-02,-57.5391,-111.367,162.148,-1.90781
