Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,0,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.3,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.0000e-02,26.4062,-495.156,463.828,3.99063
-1.9996e-02,25,-494.141,464.375,4
-1.9992e-02,23.7891,-493.789,464.57,4.00781
-1.9988e-02,22.9688,-492.812,464.883,4.03281
-1.9984e-02,21.4062,-491.914,464.375,4.05938
-1.9980e-02,20.625,-491.094,464.648,4.0875
-1.9976e-02,19.7266,-489.727,464.57,4.0875
-1.9972e-02,19.4922,-491.094,464.375,4.12969
-1.9968e-02,18.2031,-489.727,465.508,4.1125
-1.9964e-02,17.0312,-488.75,466.016,4.16094
-1.9960e-02,15.7422,-487.695,466.016,4.18594
-1.9956e-02,14.6484,-486.68,466.875,4.18594
-1.9952e-02,13.3984,-486.406,467.539,4.19531
-1.9948e-02,12.1875,-485.781,467.695,4.20625
-1.9944e-02,11.25,-485.078,468.047,4.22188
-1.9940e-02,9.84375,-484.57,468.438,4.24688
-1.9936e-02,8.71094,-484.258,469.922,4.26406
-1.9932e-02,7.8125,-483.75,470.234,4.25938
-1.9928e-02,6.67969,-483.867,470.938,4.29219
-1.9924e-02,5.78125,-483.672,471.953,4.32344
-1.9920e-02,4.33594,-484.961,472.266,4.36094
-1.9916e-02,4.375,-485.703,473.984,4.36406
-1.9912e-02,4.33594,-485.898,475.742,4.37656
-1.9908e-02,3.75,-486.094,476.445,4.39375
-1.9904e-02,3.94531,-486.406,476.68,4.38906
-1.9900e-02,4.0625,-488.047,475.664,4.36406
-1.9896e-02,5.78125,-487.617,477.188,4.36563
-1.9892e-02,5.19531,-487.305,477.266,4.37656
-1.9888e-02,4.6875,-487.188,476.328,4.37656
-1.9884e-02,4.49219,-486.523,475.82,4.37344
-1.9880e-02,3.55469,-486.289,476.25,4.37813
-1.9876e-02,2.85156,-484.297,477.695,4.39219
-1.9872e-02,0.3125,-482.852,476.836,4.4125
-1.9868e-02,-0.117188,-482.461,476.328,4.41875
-1.9864e-02,-1.13281,-481.523,475.742,4.45781
-1.9860e-02,-2.14844,-481.211,476.641,4.45938
-1.9856e-02,-3.125,-480.898,477.148,4.48594
-1.9852e-02,-3.86719,-480.234,478.477,4.47969
-1.9848e-02,-4.88281,-479.727,479.375,4.51563
-1.9844e-02,-6.28906,-479.57,479.805,4.54063
-1.9840e-02,-7.22656,-481.094,480.391,4.52813
-1.9836e-02,-7.10938,-482.266,482.109,4.54688
-1.9832e-02,-7.5,-482.461,483.477,4.57969
-1.9828e-02,-7.8125,-482.617,484.57,4.5875
-1.9824e-02,-8.04688,-482.617,483.789,4.59688
-1.9820e-02,-6.99219,-484.57,483.672,4.575
-1.9816e-02,-5.27344,-484.062,484.961,4.56875
-1.9812e-02,-6.09375,-483.75,485,4.55625
-1.9808e-02,-6.32812,-483.789,484.258,4.55625
