Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,-0.0004,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.58,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0400e-02,369.766,173.711,-531.562,-5.91406
-5.0390e-02,370.469,171.836,-531.875,-5.94531
-5.0380e-02,371.484,170.352,-531.992,-5.90469
-5.0370e-02,373.086,169.883,-531.172,-5.89219
-5.0360e-02,373.945,167.227,-529.648,-5.90156
-5.0350e-02,375.391,164.062,-528.594,-5.88438
-5.0340e-02,378.32,160.898,-527.812,-5.88438
-5.0330e-02,381.797,157.188,-528.32,-5.92188
-5.0320e-02,387.031,154.062,-531.406,-5.92813
-5.0310e-02,389.961,152.461,-531.523,-5.94219
-5.0300e-02,392.305,152.07,-532.422,-5.96094
-5.0290e-02,393.242,148.555,-531.367,-5.97031
-5.0280e-02,396.211,144.336,-529.453,-5.95312
-5.0270e-02,396.914,139.844,-526.445,-5.94063
-5.0260e-02,396.055,137.695,-522.656,-5.94063
-5.0250e-02,395.977,134.375,-521.289,-5.94688
-5.0240e-02,399.219,133.281,-523.438,-5.96094
-5.0230e-02,399.102,133.281,-522.617,-5.95469
-5.0220e-02,398.594,134.102,-522.5,-5.92188
-5.0210e-02,397.109,132.93,-520.312,-5.94219
-5.0200e-02,396.133,129.531,-515,-5.92656
-5.0190e-02,396.445,124.375,-512.344,-5.93906
-5.0180e-02,399.961,120.977,-512.266,-5.90781
-5.0170e-02,400.312,119.18,-509.688,-5.88438
-5.0160e-02,398.203,118.398,-505.977,-5.85938
-5.0150e-02,396.836,116.719,-505.117,-5.84531
-5.0140e-02,397.461,115.938,-504.688,-5.84531
-5.0130e-02,399.023,114.766,-504.766,-5.85156
-5.0120e-02,401.445,113.32,-505.195,-5.86094
-5.0110e-02,404.805,111.602,-506.602,-5.90625
-5.0100e-02,410.039,109.883,-511.094,-5.93906
-5.0090e-02,411.914,110.156,-512.773,-5.96719
-5.0080e-02,413.711,111.406,-514.727,-5.97344
-5.0070e-02,414.062,110.234,-514.844,-5.97031
-5.0060e-02,414.727,107.344,-512.266,-5.99063
-5.0050e-02,416.719,102.383,-511.328,-6.03594
-5.0040e-02,422.266,99.5703,-513.594,-6.03906
-5.0030e-02,424.102,98.2812,-513.242,-6.03906
-5.0020e-02,423.867,98.125,-511.484,-6.00469
-5.0010e-02,423.75,97.6172,-512.266,-6.05156
-5.0000e-02,423.086,97.4219,-510.547,-6.08906
-4.9990e-02,423.008,95.9766,-510.664,-6.08906
-4.9980e-02,423.242,95.3125,-510.664,-6.11406
-4.9970e-02,424.219,95.3125,-509.805,-6.09688
-4.9960e-02,423.75,94.0234,-507.93,-6.07969
-4.9950e-02,423.906,92.3438,-507.07,-6.08906
-4.9940e-02,425.43,90.4688,-506.719,-6.09531
-4.9930e-02,427.031,88.2422,-506.758,-6.10313
