Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.004,,,
Horizontal Delay,-0.0004,,,
Sample Interval,4e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.58,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.0400e-02,-108.281,-422.852,532.344,6.36562
-2.0396e-02,-109.023,-422.422,534.688,6.40156
-2.0392e-02,-109.844,-420.977,536.016,6.42969
-2.0388e-02,-111.211,-421.016,535.078,6.43594
-2.0384e-02,-110.859,-421.172,535.078,6.43437
-2.0380e-02,-110.195,-422.109,534.688,6.42656
-2.0376e-02,-109.492,-422.031,535.586,6.40625
-2.0372e-02,-109.609,-421.094,535.898,6.38125
-2.0368e-02,-110,-420.703,534.297,6.39531
-2.0364e-02,-110.234,-420.312,533.672,6.40625
-2.0360e-02,-110.703,-419.961,533.359,6.40312
-2.0356e-02,-111.523,-417.969,534.375,6.40312
-2.0352e-02,-112.578,-416.445,533.164,6.39844
-2.0348e-02,-112.891,-415.742,532.461,6.42969
-2.0344e-02,-113.984,-415.117,531.68,6.43906
-2.0340e-02,-114.375,-415.078,531.445,6.42344
-2.0336e-02,-114.883,-415.625,532.07,6.42188
-2.0332e-02,-115.703,-414.883,533.711,6.45625
-2.0328e-02,-117.539,-413.594,534.688,6.49062
-2.0324e-02,-119.453,-412.695,534.414,6.52344
-2.0320e-02,-120.859,-411.367,536.016,6.54375
-2.0316e-02,-123.32,-408.984,536.406,6.56094
-2.0312e-02,-125.352,-408.477,536.211,6.57812
-2.0308e-02,-127.109,-407.891,536.211,6.57812
-2.0304e-02,-128.398,-406.992,536.211,6.62187
-2.0300e-02,-130.352,-406.797,536.133,6.65
-2.0296e-02,-131.055,-407.266,538.281,6.67344
-2.0292e-02,-131.68,-406.562,539.492,6.67812
-2.0288e-02,-132.383,-406.25,540.195,6.675
-2.0284e-02,-132.656,-405.938,540.312,6.69062
-2.0280e-02,-132.773,-406.68,539.18,6.69844
-2.0276e-02,-131.172,-406.172,540.195,6.67031
-2.0272e-02,-131.445,-405.234,540.195,6.675
-2.0268e-02,-131.953,-405.469,538.789,6.67344
-2.0264e-02,-132.656,-404.727,538.164,6.67344
-2.0260e-02,-132.969,-404.023,537.148,6.67031
-2.0256e-02,-133.398,-402.227,537.852,6.6875
-2.0252e-02,-134.727,-400.078,537.109,6.70312
-2.0248e-02,-135.234,-399.18,535.43,6.70625
-2.0244e-02,-135.742,-398.477,534.883,6.71406
-2.0240e-02,-135.43,-398.477,534.609,6.73438
-2.0236e-02,-136.602,-399.336,535.586,6.73594
-2.0232e-02,-137.266,-397.969,536.602,6.72344
-2.0228e-02,-138.555,-397.305,537.266,6.73906
-2.0224e-02,-140.469,-396.328,537.734,6.75469
-2.0220e-02,-142.109,-394.883,538.164,6.79219
-2.0216e-02,-144.375,-392.891,538.477,6.79688
-2.0212e-02,-145.391,-392.461,538.242,6.80156
-2.0208e-02,-147.109,-391.836,537.734,6.83281
