Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.01,,,
Horizontal Delay,-0.0004,,,
Sample Interval,1e-05,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,500,,,
Vertical Units,V,,,
Vertical Offset,0,,,
Vertical Scale,250,,,
Vertical Position,1.58,,,
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-5.0400e-02,340.859,-553.984,209.258,-1.65625
-5.0390e-02,338.242,-553.477,211.68,-1.6625
-5.0380e-02,334.883,-552.695,213.672,-1.62969
-5.0370e-02,333.984,-555.859,215.586,-1.62813
-5.0360e-02,333.672,-557.5,219.961,-1.57031
-5.0350e-02,331.719,-558.359,223.242,-1.56406
-5.0340e-02,329.531,-559.492,225.43,-1.54063
-5.0330e-02,328.32,-561.25,228.398,-1.525
-5.0320e-02,327.695,-562.383,229.844,-1.51719
-5.0310e-02,327.266,-560.859,229.492,-1.5125
-5.0300e-02,327.852,-560.586,228.633,-1.49219
-5.0290e-02,326.016,-559.727,229.531,-1.48906
-5.0280e-02,323.516,-559.492,232.07,-1.46875
-5.0270e-02,321.719,-561.914,234.648,-1.45
-5.0260e-02,319.844,-563.086,238.242,-1.45
-5.0250e-02,317.773,-562.969,240.312,-1.41094
-5.0240e-02,314.688,-563.086,241.836,-1.3625
-5.0230e-02,313.281,-564.062,244.062,-1.31406
-5.0220e-02,312.266,-564.219,245.117,-1.28438
-5.0210e-02,311.133,-561.875,244.18,-1.29219
-5.0200e-02,311.406,-560.547,243.32,-1.30156
-5.0190e-02,309.297,-559.297,243.359,-1.28438
-5.0180e-02,306.367,-558.164,244.922,-1.27344
-5.0170e-02,304.805,-559.453,246.797,-1.24531
-5.0160e-02,302.617,-559.727,249.805,-1.23125
-5.0150e-02,300.469,-559.18,252.07,-1.23906
-5.0140e-02,297.852,-558.438,252.891,-1.21719
-5.0130e-02,297.695,-561.016,254.57,-1.19063
-5.0120e-02,297.344,-563.047,258.008,-1.16875
-5.0110e-02,296.602,-563.75,260.312,-1.15781
-5.0100e-02,294.609,-564.492,261.289,-1.17188
-5.0090e-02,292.5,-563.398,264.062,-1.11563
-5.0080e-02,290.312,-563.203,265.273,-1.07344
-5.0070e-02,288.359,-562.773,266.602,-1.05469
-5.0060e-02,286.992,-563.359,268.75,-1.04688
-5.0050e-02,284.141,-564.258,271.484,-0.9875
-5.0040e-02,281.602,-563.828,274.922,-0.942188
-5.0030e-02,278.906,-562.031,276.836,-0.9125
-5.0020e-02,275.625,-560.742,277.344,-0.904688
-5.0010e-02,275,-562.773,278.359,-0.889063
-5.0000e-02,274.141,-563.75,281.445,-0.851562
-4.9990e-02,273.086,-563.555,283.164,-0.8375
-4.9980e-02,271.992,-563.594,283.359,-0.823438
-4.9970e-02,269.961,-561.836,285.625,-0.817188
-4.9960e-02,267.656,-560.859,285.898,-0.8125
-4.9950e-02,265.703,-559.883,286.211,-0.820312
-4.9940e-02,264.336,-559.844,287.383,-0.789062
-4.9930e-02,261.68,-559.883,289.414,-0.746875
-4.9920e-02,259.18,-558.75,291.875,-0.714063
